2017-07-21 14:52:19 status installed linux-headers-4.4.0-1022-aws:amd64 4.4.0-1022.31
2017-07-21 14:52:19 configure linux-headers-aws:amd64 4.4.0.1022.25 <none>
2017-07-21 14:52:19 status unpacked linux-headers-aws:amd64 4.4.0.1022.25
2017-07-21 14:52:19 status half-configured linux-headers-aws:amd64 4.4.0.1022.25
2017-07-21 14:52:19 status installed linux-headers-aws:amd64 4.4.0.1022.25
2017-07-21 14:52:19 configure linux-aws:amd64 4.4.0.1022.25 <none>
2017-07-21 14:52:19 status unpacked linux-aws:amd64 4.4.0.1022.25
2017-07-21 14:52:19 status half-configured linux-aws:amd64 4.4.0.1022.25
2017-07-21 14:52:19 status installed linux-aws:amd64 4.4.0.1022.25
2017-07-21 14:52:19 startup packages configure
2017-10-09 22:50:39 startup archives unpack
2017-10-09 22:50:40 upgrade base-files:amd64 9.4ubuntu4.4 9.4ubuntu4.5
2017-10-09 22:50:40 status half-configured base-files:amd64 9.4ubuntu4.4
2017-10-09 22:50:40 status unpacked base-files:amd64 9.4ubuntu4.4
2017-10-09 22:50:40 status half-installed base-files:amd64 9.4ubuntu4.4
2017-10-09 22:50:40 status triggers-pending man-db:amd64 2.7.5-1
2017-10-09 22:50:40 status triggers-pending install-info:amd64 6.1.0.dfsg.1-5
2017-10-09 22:50:40 status triggers-pending plymouth-theme-ubuntu-text:amd64 0.9.2-3ubuntu13.1
2017-10-09 22:50:40 status half-installed base-files:amd64 9.4ubuntu4.4
2017-10-09 22:50:40 status half-installed base-files:amd64 9.4ubuntu4.4
2017-10-09 22:50:40 status unpacked base-files:amd64 9.4ubuntu4.5
2017-10-09 22:50:40 status unpacked base-files:amd64 9.4ubuntu4.5
2017-10-09 22:50:40 trigproc man-db:amd64 2.7.5-1 <none>
2017-10-09 22:50:40 status half-configured man-db:amd64 2.7.5-1
2017-10-09 22:50:40 status installed man-db:amd64 2.7.5-1
2017-10-09 22:50:40 trigproc install-info:amd64 6.1.0.dfsg.1-5 <none>
2017-10-09 22:50:40 status half-configured install-info:amd64 6.1.0.dfsg.1-5
2017-10-09 22:50:40 status installed install-info:amd64 6.1.0.dfsg.1-5
2017-10-09 22:50:40 trigproc plymouth-theme-ubuntu-text:amd64 0.9.2-3ubuntu13.1 <none>
2017-10-09 22:50:40 status half-configured plymouth-theme-ubuntu-text:amd64 0.9.2-3ubuntu13.1
2017-10-09 22:50:40 status installed plymouth-theme-ubuntu-text:amd64 0.9.2-3ubuntu13.1
2017-10-09 22:50:40 status triggers-pending initramfs-tools:all 0.122ubuntu8.8
2017-10-09 22:50:40 trigproc initramfs-tools:all 0.122ubuntu8.8 <none>
2017-10-09 22:50:40 status half-configured initramfs-tools:all 0.122ubuntu8.8
2017-10-09 22:50:45 status installed initramfs-tools:all 0.122ubuntu8.8
2017-10-09 22:50:45 startup packages configure
2017-10-09 22:50:45 configure base-files:amd64 9.4ubuntu4.5 <none>
2017-10-09 22:50:45 status unpacked base-files:amd64 9.4ubuntu4.5
2017-10-09 22:50:45 status unpacked base-files:amd64 9.4ubuntu4.5
2017-10-09 22:50:45 status unpacked base-files:amd64 9.4ubuntu4.5
2017-10-09 22:50:45 status unpacked base-files:amd64 9.4ubuntu4.5
2017-10-09 22:50:45 status unpacked base-files:amd64 9.4ubuntu4.5
2017-10-09 22:50:45 status unpacked base-files:amd64 9.4ubuntu4.5
2017-10-09 22:50:45 status unpacked base-files:amd64 9.4ubuntu4.5
2017-10-09 22:50:45 status unpacked base-files:amd64 9.4ubuntu4.5
2017-10-09 22:50:45 status triggers-pending plymouth-theme-ubuntu-text:amd64 0.9.2-3ubuntu13.1
2017-10-09 22:50:45 status unpacked base-files:amd64 9.4ubuntu4.5
2017-10-09 22:50:45 status unpacked base-files:amd64 9.4ubuntu4.5
2017-10-09 22:50:45 status unpacked base-files:amd64 9.4ubuntu4.5
2017-10-09 22:50:45 status unpacked base-files:amd64 9.4ubuntu4.5
2017-10-09 22:50:45 status half-configured base-files:amd64 9.4ubuntu4.5
2017-10-09 22:50:45 status triggers-awaited base-files:amd64 9.4ubuntu4.5
2017-10-09 22:50:45 trigproc plymouth-theme-ubuntu-text:amd64 0.9.2-3ubuntu13.1 <none>
2017-10-09 22:50:45 status half-configured plymouth-theme-ubuntu-text:amd64 0.9.2-3ubuntu13.1
2017-10-09 22:50:45 status installed base-files:amd64 9.4ubuntu4.5
2017-10-09 22:50:45 status installed plymouth-theme-ubuntu-text:amd64 0.9.2-3ubuntu13.1
2017-10-09 22:50:45 status triggers-pending initramfs-tools:all 0.122ubuntu8.8
2017-10-09 22:50:45 trigproc initramfs-tools:all 0.122ubuntu8.8 <none>
2017-10-09 22:50:45 status half-configured initramfs-tools:all 0.122ubuntu8.8
2017-10-09 22:50:48 status installed initramfs-tools:all 0.122ubuntu8.8
2017-10-09 22:50:48 startup archives unpack
2017-10-09 22:50:48 upgrade gcc-5-base:amd64 5.4.0-6ubuntu1~16.04.4 5.4.0-6ubuntu1~16.04.5
2017-10-09 22:50:48 status half-configured gcc-5-base:amd64 5.4.0-6ubuntu1~16.04.4
2017-10-09 22:50:48 status unpacked gcc-5-base:amd64 5.4.0-6ubuntu1~16.04.4
2017-10-09 22:50:48 status half-installed gcc-5-base:amd64 5.4.0-6ubuntu1~16.04.4
2017-10-09 22:50:49 status half-installed gcc-5-base:amd64 5.4.0-6ubuntu1~16.04.4
2017-10-09 22:50:49 status unpacked gcc-5-base:amd64 5.4.0-6ubuntu1~16.04.5
2017-10-09 22:50:49 status unpacked gcc-5-base:amd64 5.4.0-6ubuntu1~16.04.5
2017-10-09 22:50:49 startup packages configure
2017-10-09 22:50:49 configure gcc-5-base:amd64 5.4.0-6ubuntu1~16.04.5 <none>
2017-10-09 22:50:49 status unpacked gcc-5-base:amd64 5.4.0-6ubuntu1~16.04.5
2017-10-09 22:50:49 status half-configured gcc-5-base:amd64 5.4.0-6ubuntu1~16.04.5
2017-10-09 22:50:49 status installed gcc-5-base:amd64 5.4.0-6ubuntu1~16.04.5
2017-10-09 22:50:49 startup archives unpack
